NU_INSCRICAO,FAIXA_ETARIA,SEXO,ESTADO_CIVIL,RACA,NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,IN_TREINEIRO,NO_MUNICIPIO_ESC,NO_MUNICIPIO_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"2,10E+11",26_30,F,1,parda,1,3,nao_respondeu,1,,Cachoeiro de Itapemirim,1,1,1,1,387.8,456.8,473.5,502.8,espanhol,1.0,120.0,120.0,120.0,120.0,100.0,580.0,nao
"2,10E+11",17,F,1,preta,1,3,nao_respondeu,1,,Serra,0,1,1,0,,510.4,560.6,,ingles,1.0,120.0,120.0,80.0,120.0,80.0,520.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,São Gabriel da Palha,1,1,1,1,475.7,505.0,550.1,574.9,ingles,4.0,0.0,0.0,0.0,0.0,0.0,0.0,sim
"2,10E+11",19,F,1,parda,1,3,nao_respondeu,1,,Cariacica,1,1,1,1,456.3,509.6,399.2,377.5,espanhol,1.0,60.0,120.0,80.0,80.0,0.0,340.0,sim
"2,10E+11",18,F,1,branca,1,3,nao_respondeu,1,,Colatina,1,1,1,1,589.9,560.5,585.0,675.8,ingles,1.0,160.0,200.0,140.0,120.0,180.0,800.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,São Mateus,1,1,1,1,386.3,514.1,449.7,574.8,ingles,1.0,140.0,140.0,120.0,120.0,120.0,640.0,sim
"2,10E+11",17,F,1,parda,1,3,nao_respondeu,1,,Marataízes,1,1,1,1,423.3,439.7,472.1,467.0,ingles,1.0,120.0,120.0,120.0,120.0,80.0,560.0,sim
"2,10E+11",<_17,M,1,parda,1,3,nao_respondeu,1,,Vila Velha,1,1,1,1,517.0,446.8,416.6,571.7,espanhol,9.0,0.0,0.0,0.0,0.0,0.0,0.0,sim
"2,10E+11",17,M,1,branca,1,3,nao_respondeu,1,,Iúna,1,1,1,1,607.3,617.1,557.0,592.0,espanhol,1.0,80.0,140.0,120.0,140.0,140.0,620.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Vila Velha,1,1,1,1,482.3,467.6,397.8,435.1,ingles,1.0,120.0,100.0,100.0,120.0,60.0,500.0,sim
"2,10E+11",17,F,1,parda,1,3,nao_respondeu,1,,Vila Velha,1,1,1,1,428.3,504.2,493.3,417.3,espanhol,1.0,120.0,120.0,100.0,120.0,120.0,580.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Vitória,1,1,1,1,472.3,582.7,623.8,690.1,ingles,1.0,160.0,200.0,160.0,180.0,200.0,900.0,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Serra,0,0,0,0,,,,,espanhol,,,,,,,,sim
"2,10E+11",17,F,1,branca,1,3,nao_respondeu,1,,Vitória,1,1,1,1,565.3,565.4,561.8,555.7,ingles,1.0,180.0,200.0,180.0,200.0,160.0,920.0,sim
"2,10E+11",<_17,M,1,branca,1,3,nao_respondeu,1,,Alegre,1,1,1,1,441.3,486.4,514.6,456.7,ingles,1.0,140.0,160.0,120.0,120.0,100.0,640.0,sim
"2,10E+11",21,F,1,parda,1,3,nao_respondeu,1,,Vitória,1,1,1,1,450.9,444.9,442.2,440.2,ingles,1.0,80.0,120.0,80.0,80.0,40.0,400.0,sim
"2,10E+11",19,M,1,nao_declarado,1,3,nao_respondeu,1,,Vila Velha,0,1,1,0,,543.3,384.2,,ingles,1.0,120.0,120.0,120.0,120.0,140.0,620.0,sim
"2,10E+11",<_17,M,1,parda,1,3,nao_respondeu,1,,Cachoeiro de Itapemirim,1,1,1,1,410.4,401.3,413.1,456.2,ingles,1.0,80.0,120.0,80.0,100.0,100.0,480.0,sim
